"timestamp","device_id","co","humidity","lpg","smoke","temperature","light"
"2020-07-12 00:01:00","00:0f:00:70:91:0a","0.0028891021","76.0","0.0051779326","0.0134511789","19.7",0
"2020-07-12 00:01:00","1c:bf:ce:15:ec:4d","0.0043948087","77.7","0.0070138091","0.0186012536","27.0",1
"2020-07-12 00:01:00","b8:27:eb:bf:9d:51","0.0049682070","50.9","0.0076645169","0.0204502997","22.6",0
"2020-07-12 00:02:00","00:0f:00:70:91:0a","0.0028797898","75.9","0.0051659323","0.0134178428","19.7",0
"2020-07-12 00:02:00","1c:bf:ce:15:ec:4d","0.0043897466","64.0","0.0070079790","0.0185847301","27.0",1
"2020-07-12 00:02:00","b8:27:eb:bf:9d:51","0.0049567891","50.9","0.0076517630","0.0204139557","22.6",0
"2020-07-12 00:03:00","00:0f:00:70:91:0a","0.0028673336","76.1","0.0051497817","0.0133730268","19.8",0
"2020-07-12 00:03:00","1c:bf:ce:15:ec:4d","0.0043920049","59.7","0.0070105735","0.0185920867","27.0",1
"2020-07-12 00:03:00","b8:27:eb:bf:9d:51","0.0049594401","50.9","0.0076547224","0.0204223897","22.6",0
"2020-07-12 00:04:00","00:0f:00:70:91:0a","0.0028375869","76.1","0.0051110898","0.0132657221","19.8",0
"2020-07-12 00:04:00","1c:bf:ce:15:ec:4d","0.0044156642","75.1","0.0070378721","0.0186694294","27.0",1
"2020-07-12 00:04:00","b8:27:eb:bf:9d:51","0.0049644202","51.0","0.0076602803","0.0204382303","22.7",0
"2020-07-12 00:05:00","00:0f:00:70:91:0a","0.0028508862","76.3","0.0051284127","0.0133137519","19.7",0
"2020-07-12 00:05:00","1c:bf:ce:15:ec:4d","0.0043967882","74.5","0.0070160276","0.0186075722","27.0",1
"2020-07-12 00:05:00","b8:27:eb:bf:9d:51","0.0049905185","51.0","0.0076893890","0.0205212015","22.7",0
"2020-07-12 00:06:00","00:0f:00:70:91:0a","0.0028346772","76.0","0.0051072951","0.0132552033","19.7",0
"2020-07-12 00:06:00","1c:bf:ce:15:ec:4d","0.0044043711","65.5","0.0070246874","0.0186321525","26.1",1
"2020-07-12 00:06:00","b8:27:eb:bf:9d:51","0.0049861892","51.0","0.0076845648","0.0205074484","22.7",0
"2020-07-12 00:07:00","00:0f:00:70:91:0a","0.0028259999","75.6","0.0050959594","0.0132237902","19.8",0
"2020-07-12 00:07:00","1c:bf:ce:15:ec:4d","0.0043588513","69.1","0.0069722201","0.0184834739","27.0",1
"2020-07-12 00:07:00","b8:27:eb:bf:9d:51","0.0049943550","51.1","0.0076936701","0.0205334035","22.7",0
"2020-07-12 00:08:00","00:0f:00:70:91:0a","0.0028400886","75.2","0.0051143834","0.0132748367","19.7",0
"2020-07-12 00:08:00","1c:bf:ce:15:ec:4d","0.0043618284","59.1","0.0069757043","0.0184933206","27.0",1
"2020-07-12 00:08:00","b8:27:eb:bf:9d:51","0.0049862226","51.1","0.0076846084","0.0205075695","22.6",0
"2020-07-12 00:09:00","00:0f:00:70:91:0a","0.0028244845","75.1","0.0050939620","0.0132182638","19.7",0
"2020-07-12 00:09:00","1c:bf:ce:15:ec:4d","0.0043291434","72.3","0.0069378582","0.0183861619","27.0",1
"2020-07-12 00:09:00","b8:27:eb:bf:9d:51","0.0049786002","50.3","0.0076761086","0.0204833407","22.6",0
"2020-07-12 00:10:00","00:0f:00:70:91:0a","0.0028295858","74.8","0.0051006698","0.0132368305","19.7",0
"2020-07-12 00:10:00","1c:bf:ce:15:ec:4d","0.0042949670","67.8","0.0068981973","0.0182739093","27.0",1
"2020-07-12 00:10:00","b8:27:eb:bf:9d:51","0.0049874115","49.5","0.0076859327","0.0205113450","22.5",0
"2020-07-12 00:11:00","00:0f:00:70:91:0a","0.0028400886","74.7","0.0051143834","0.0132748367","19.6",0
"2020-07-12 00:11:00","1c:bf:ce:15:ec:4d","0.0043077342","77.8","0.0069130385","0.0183159018","27.0",1
"2020-07-12 00:11:00","b8:27:eb:bf:9d:51","0.0049946332","62.9","0.0076939795","0.0205342857","22.3",0
"2020-07-12 00:12:00","00:0f:00:70:91:0a","0.0028400886","74.8","0.0051143834","0.0132748367","19.6",0
"2020-07-12 00:12:00","1c:bf:ce:15:ec:4d","0.0043341301","77.3","0.0069436594","0.0184025741","27.0",1
"2020-07-12 00:12:00","b8:27:eb:bf:9d:51","0.0049854484","76.2","0.0076837432","0.0205051042","22.3",0
"2020-07-12 00:13:00","00:0f:00:70:91:0a","0.0028212736","74.6","0.0050897883","0.0132066874","19.6",0
"2020-07-12 00:13:00","1c:bf:ce:15:ec:4d","0.0043145504","77.5","0.0069209477","0.0183382877","27.0",1
"2020-07-12 00:13:00","b8:27:eb:bf:9d:51","0.0049840682","75.8","0.0076822025","0.0205007134","22.2",0
"2020-07-12 00:14:00","00:0f:00:70:91:0a","0.0028384208","74.6","0.0051121876","0.0132687603","19.5",0
"2020-07-12 00:14:00","1c:bf:ce:15:ec:4d","0.0043060662","75.1","0.0069110775","0.0183103644","25.4",1
"2020-07-12 00:14:00","b8:27:eb:bf:9d:51","0.0050001447","74.7","0.0077001219","0.0205517965","22.1",0
"2020-07-12 00:15:00","00:0f:00:70:91:0a","0.0028118211","74.8","0.0050774460","0.0131724818","19.5",0
"2020-07-12 00:15:00","1c:bf:ce:15:ec:4d","0.0042610067","67.4","0.0068586598","0.0181620703","26.4",1
"2020-07-12 00:15:00","b8:27:eb:bf:9d:51","0.0049997995","57.3","0.0076997335","0.0205506911","22.0",0
"2020-07-12 00:16:00","00:0f:00:70:91:0a","0.0028353624","75.2","0.0051082123","0.0132577339","19.5",0
"2020-07-12 00:16:00","1c:bf:ce:15:ec:4d","0.0043057213","74.9","0.0069106436","0.0183091534","27.0",1
"2020-07-12 00:16:00","b8:27:eb:bf:9d:51","0.0050090962","50.3","0.0077100893","0.0205802161","22.0",0
"2020-07-12 00:17:00","00:0f:00:70:91:0a","0.0028265850","75.2","0.0050967516","0.0132259716","19.5",0
"2020-07-12 00:17:00","1c:bf:ce:15:ec:4d","0.0044029678","55.9","0.0070229739","0.0186273450","26.6",1
"2020-07-12 00:17:00","b8:27:eb:bf:9d:51","0.0047638405","50.6","0.0074197621","0.0197615305","22.1",0
"2020-07-12 00:18:00","00:0f:00:70:91:0a","0.0028141296","73.8","0.0050803958","0.0131806888","19.5",0
"2020-07-12 00:18:00","1c:bf:ce:15:ec:4d","0.0044354558","69.4","0.0070605309","0.0187337159","27.0",1
"2020-07-12 00:18:00","b8:27:eb:bf:9d:51","0.0050156902","50.5","0.0077174343","0.0206011572","22.2",0
"2020-07-12 00:19:00","00:0f:00:70:91:0a","0.0028009550","75.4","0.0050632147","0.0131330624","19.5",0
"2020-07-12 00:19:00","1c:bf:ce:15:ec:4d","0.0043311344","77.9","0.0069400486","0.0183924220","27.0",1
"2020-07-12 00:19:00","b8:27:eb:bf:9d:51","0.0050137116","51.1","0.0077152310","0.0205948750","22.3",0
"2020-07-12 00:20:00","00:0f:00:70:91:0a","0.0027733983","75.5","0.0050269853","0.0130327788","19.5",0
"2020-07-12 00:20:00","1c:bf:ce:15:ec:4d","0.0043636344","73.4","0.0069777765","0.0184991974","27.0",1
"2020-07-12 00:20:00","b8:27:eb:bf:9d:51","0.0042316098","50.7","0.0067856280","0.0179754811","22.3",0
"2020-07-12 00:21:00","00:0f:00:70:91:0a","0.0027470770","75.6","0.0049924677","0.0129371903","19.6",0
"2020-07-12 00:21:00","1c:bf:ce:15:ec:4d","0.0043056940","60.3","0.0069106023","0.0183090412","27.0",1
"2020-07-12 00:21:00","b8:27:eb:bf:9d:51","0.0039417978","50.8","0.0064454793","0.0170148330","22.4",0
"2020-07-12 00:22:00","00:0f:00:70:91:0a","0.0027700914","75.7","0.0050227078","0.0130209038","19.6",0
"2020-07-12 00:22:00","1c:bf:ce:15:ec:4d","0.0043961195","76.4","0.0070151301","0.0186050928","27.0",1
"2020-07-12 00:22:00","b8:27:eb:bf:9d:51","0.0041462456","51.0","0.0066877443","0.0176978588","22.4",0
"2020-07-12 00:23:00","00:0f:00:70:91:0a","0.0027455394","75.8","0.0049903350","0.0129313417","19.6",0
"2020-07-12 00:23:00","1c:bf:ce:15:ec:4d","0.0044336638","77.8","0.0070583859","0.0187276778","27.0",1
"2020-07-12 00:23:00","b8:27:eb:bf:9d:51","0.0038576128","51.0","0.0063417636","0.0167244573","22.4",0
"2020-07-12 00:24:00","00:0f:00:70:91:0a","0.0026978726","75.8","0.0049274944","0.0127574831","19.6",0
"2020-07-12 00:24:00","1c:bf:ce:15:ec:4d","0.0043208344","68.9","0.0069280865","0.0183585703","27.0",1
"2020-07-12 00:24:00","b8:27:eb:bf:9d:51","0.0044190107","51.1","0.0070130285","0.0186138890","22.5",0
"2020-07-12 00:25:00","00:0f:00:70:91:0a","0.0026863954","75.9","0.0049125130","0.0127159610","19.6",0
"2020-07-12 00:25:00","1c:bf:ce:15:ec:4d","0.0043526768","64.2","0.0069645982","0.0184621305","27.0",1
"2020-07-12 00:25:00","b8:27:eb:bf:9d:51","0.0038633198","51.1","0.0063432400","0.0167313175","22.5",0
"2020-07-12 00:26:00","00:0f:00:70:91:0a","0.0027046614","74.5","0.0049365810","0.0127825553","19.9",0
"2020-07-12 00:26:00","1c:bf:ce:15:ec:4d","0.0042903855","74.9","0.0068928014","0.0182586772","27.0",1
"2020-07-12 00:26:00","b8:27:eb:bf:9d:51","0.0039173117","51.1","0.0064096891","0.0169173951","22.5",0
"2020-07-12 00:27:00","00:0f:00:70:91:0a","0.0026647853","76.0","0.0048838953","0.0126368488","19.6",0
"2020-07-12 00:27:00","1c:bf:ce:15:ec:4d","0.0043147769","77.7","0.0069211503","0.0183388916","27.0",1
"2020-07-12 00:27:00","b8:27:eb:bf:9d:51","0.0041831246","51.1","0.0067249440","0.0178060713","22.5",0
"2020-07-12 00:28:00","00:0f:00:70:91:0a","0.0026435711","76.2","0.0048557188","0.0125589974","19.7",0
"2020-07-12 00:28:00","1c:bf:ce:15:ec:4d","0.0043118709","77.8","0.0069177711","0.0183293309","27.0",1
"2020-07-12 00:28:00","b8:27:eb:bf:9d:51","0.0037496193","51.1","0.0062057506","0.0163451253","22.6",0
"2020-07-12 00:29:00","00:0f:00:70:91:0a","0.0026448714","76.1","0.0048575066","0.0125639072","19.7",0
"2020-07-12 00:29:00","1c:bf:ce:15:ec:4d","0.0043182324","77.7","0.0069251292","0.0183501689","27.0",1
"2020-07-12 00:29:00","b8:27:eb:bf:9d:51","0.0044970020","51.1","0.0071021409","0.0188668140","22.6",0
"2020-07-12 00:30:00","00:0f:00:70:91:0a","0.0026259418","76.2","0.0048323585","0.0124944263","19.7",0
"2020-07-12 00:30:00","1c:bf:ce:15:ec:4d","0.0043971733","77.7","0.0070164227","0.0186087163","26.9",1
"2020-07-12 00:30:00","b8:27:eb:bf:9d:51","0.0042956618","51.1","0.0068570357","0.0181791304","22.6",0
"2020-07-12 00:31:00","00:0f:00:70:91:0a","0.0026321386","76.2","0.0048405925","0.0125171749","19.7",0
"2020-07-12 00:31:00","1c:bf:ce:15:ec:4d","0.0043866283","64.1","0.0070042382","0.0185742040","26.9",1
"2020-07-12 00:31:00","b8:27:eb:bf:9d:51","0.0045375657","51.2","0.0071475215","0.0189961428","22.6",0
"2020-07-12 00:32:00","00:0f:00:70:91:0a","0.0026165689","76.2","0.0048199141","0.0124600400","19.7",0
"2020-07-12 00:32:00","1c:bf:ce:15:ec:4d","0.0042991566","76.5","0.0069029586","0.0182874361","26.9",1
"2020-07-12 00:32:00","b8:27:eb:bf:9d:51","0.0043598528","51.1","0.0069367205","0.0184019418","22.6",0
"2020-07-12 00:33:00","00:0f:00:70:91:0a","0.0026369087","76.1","0.0048469673","0.0125347692","19.7",0
"2020-07-12 00:33:00","1c:bf:ce:15:ec:4d","0.0042713048","77.7","0.0068706098","0.0181958930","26.9",1
"2020-07-12 00:33:00","b8:27:eb:bf:9d:51","0.0044354525","51.1","0.0070311286","0.0186656474","22.6",0
"2020-07-12 00:34:00","00:0f:00:70:91:0a","0.0026245280","76.2","0.0048305001","0.0124892819","19.7",0
"2020-07-12 00:34:00","1c:bf:ce:15:ec:4d","0.0043858293","73.3","0.0070026411","0.0185700180","26.3",1
"2020-07-12 00:34:00","b8:27:eb:bf:9d:51","0.0043987656","51.1","0.0069846224","0.0185360819","22.6",0
"2020-07-12 00:35:00","00:0f:00:70:91:0a","0.0026198852","76.1","0.0048243249","0.0124722241","19.7",0
"2020-07-12 00:35:00","1c:bf:ce:15:ec:4d","0.0043437463","73.7","0.0069545513","0.0184335362","26.9",1
"2020-07-12 00:35:00","b8:27:eb:bf:9d:51","0.0046812599","51.1","0.0073222037","0.0194863657","22.6",0
"2020-07-12 00:36:00","00:0f:00:70:91:0a","0.0026165689","76.1","0.0048199141","0.0124600400","19.7",0
"2020-07-12 00:36:00","1c:bf:ce:15:ec:4d","0.0042061090","65.6","0.0067945792","0.0179808914","26.9",1
"2020-07-12 00:36:00","b8:27:eb:bf:9d:51","0.0045428949","51.1","0.0071529656","0.0190119210","22.6",0
"2020-07-12 00:37:00","00:0f:00:70:91:0a","0.0026174532","76.2","0.0048210903","0.0124632891","19.7",0
"2020-07-12 00:37:00","1c:bf:ce:15:ec:4d","0.0042434403","77.7","0.0068382116","0.0181042273","26.9",1
"2020-07-12 00:37:00","b8:27:eb:bf:9d:51","0.0044204723","51.1","0.0070083417","0.0186039657","22.6",0
"2020-07-12 00:38:00","00:0f:00:70:91:0a","0.0026169668","76.2","0.0048204434","0.0124615021","19.8",0
"2020-07-12 00:38:00","1c:bf:ce:15:ec:4d","0.0042968451","77.7","0.0069003170","0.0182799389","26.9",1
"2020-07-12 00:38:00","b8:27:eb:bf:9d:51","0.0046770603","51.1","0.0073163217","0.0194702465","22.6",0
"2020-07-12 00:39:00","00:0f:00:70:91:0a","0.0026179559","76.3","0.0048217457","0.0124651059","20.0",0
"2020-07-12 00:39:00","1c:bf:ce:15:ec:4d","0.0043557797","72.4","0.0069682356","0.0184724077","26.9",1
"2020-07-12 00:39:00","b8:27:eb:bf:9d:51","0.0047986033","51.1","0.0074547239","0.0198632788","22.6",0
"2020-07-12 00:40:00","00:0f:00:70:91:0a","0.0026114843","76.3","0.0048131270","0.0124413041","19.8",0
"2020-07-12 00:40:00","1c:bf:ce:15:ec:4d","0.0042577001","76.2","0.0068547426","0.0181510240","26.9",1
"2020-07-12 00:40:00","b8:27:eb:bf:9d:51","0.0047613481","51.1","0.0074131328","0.0197447266","22.6",0
"2020-07-12 00:41:00","00:0f:00:70:91:0a","0.0026068857","76.4","0.0048070059","0.0124243981","19.8",0
"2020-07-12 00:41:00","1c:bf:ce:15:ec:4d","0.0042210436","76.5","0.0068121058","0.0180303981","26.9",1
"2020-07-12 00:41:00","b8:27:eb:bf:9d:51","0.0046622873","51.1","0.0072940848","0.0194099568","22.6",0
"2020-07-12 00:42:00","00:0f:00:70:91:0a","0.0026022516","76.5","0.0048008082","0.0124072950","19.8",0
"2020-07-12 00:42:00","1c:bf:ce:15:ec:4d","0.0042246454","77.9","0.0068162342","0.0180421089","26.9",1
"2020-07-12 00:42:00","b8:27:eb:bf:9d:51","0.0048160907","51.2","0.0074794721","0.0199310156","22.7",0
"2020-07-12 00:43:00","00:0f:00:70:91:0a","0.0026144965","76.3","0.0048171395","0.0124523847","19.8",0
"2020-07-12 00:43:00","1c:bf:ce:15:ec:4d","0.0043391486","76.2","0.0069492481","0.0184185100","26.9",1
"2020-07-12 00:43:00","b8:27:eb:bf:9d:51","0.0047753779","51.2","0.0074290081","0.0197898749","22.7",0
"2020-07-12 00:44:00","00:0f:00:70:91:0a","0.0026142846","76.4","0.0048168597","0.0124516108","19.8",0
"2020-07-12 00:44:00","1c:bf:ce:15:ec:4d","0.0043280695","77.6","0.0069365212","0.0183824236","26.9",1
"2020-07-12 00:44:00","b8:27:eb:bf:9d:51","0.0050023009","51.2","0.0077025245","0.0205586460","22.7",0
"2020-07-12 00:45:00","00:0f:00:70:91:0a","0.0025955142","76.3","0.0047918118","0.0123824615","19.8",0
"2020-07-12 00:45:00","1c:bf:ce:15:ec:4d","0.0043127256","76.4","0.0069188215","0.0183322743","26.9",1
"2020-07-12 00:45:00","b8:27:eb:bf:9d:51","0.0050182650","51.2","0.0077202943","0.0206093152","22.7",0
"2020-07-12 00:46:00","00:0f:00:70:91:0a","0.0026030833","75.9","0.0048019291","0.0124103840","19.8",0
"2020-07-12 00:46:00","1c:bf:ce:15:ec:4d","0.0043225620","77.6","0.0069301037","0.0183642734","26.9",1
"2020-07-12 00:46:00","b8:27:eb:bf:9d:51","0.0049352457","51.3","0.0076205719","0.0203288634","22.7",0
"2020-07-12 00:47:00","00:0f:00:70:91:0a","0.0025898815","75.5","0.0047842686","0.0123616503","19.8",0
"2020-07-12 00:47:00","1c:bf:ce:15:ec:4d","0.0042366866","77.6","0.0068303098","0.0180818955","26.9",1
"2020-07-12 00:47:00","b8:27:eb:bf:9d:51","0.0050153157","51.2","0.0077170167","0.0205999667","22.6",0
"2020-07-12 00:48:00","00:0f:00:70:91:0a","0.0025970341","75.3","0.0047938524","0.0123880890","19.8",0
"2020-07-12 00:48:00","1c:bf:ce:15:ec:4d","0.0042099537","76.4","0.0067991561","0.0179937869","26.8",1
"2020-07-12 00:48:00","b8:27:eb:bf:9d:51","0.0049119810","50.4","0.0075942134","0.0202539359","22.6",0
"2020-07-12 00:49:00","00:0f:00:70:91:0a","0.0025842330","75.2","0.0047767094","0.0123407925","19.7",0
"2020-07-12 00:49:00","1c:bf:ce:15:ec:4d","0.0041971324","77.7","0.0067841789","0.0179514468","26.8",1
"2020-07-12 00:49:00","b8:27:eb:bf:9d:51","0.0049756401","49.5","0.0076720970","0.0204722717","22.5",0
"2020-07-12 00:50:00","00:0f:00:70:91:0a","0.0025948102","75.0","0.0047908689","0.0123798603","19.7",0
"2020-07-12 00:50:00","1c:bf:ce:15:ec:4d","0.0041930019","69.0","0.0067793457","0.0179377875","26.9",1
"2020-07-12 00:50:00","b8:27:eb:bf:9d:51","0.0050090426","50.9","0.0077100236","0.0205800318","22.4",0
"2020-07-12 00:51:00","00:0f:00:70:91:0a","0.0026068857","74.8","0.0048070059","0.0124243981","19.6",0
"2020-07-12 00:51:00","1c:bf:ce:15:ec:4d","0.0041897412","77.4","0.0067755342","0.0179270136","26.8",1
"2020-07-12 00:51:00","b8:27:eb:bf:9d:51","0.0049149794","76.1","0.0075974959","0.0202633244","22.3",0
"2020-07-12 00:52:00","00:0f:00:70:91:0a","0.0026125893","74.7","0.0048146210","0.0124454191","19.6",0
"2020-07-12 00:52:00","1c:bf:ce:15:ec:4d","0.0042171704","77.2","0.0068075758","0.0180175946","26.8",1
"2020-07-12 00:52:00","b8:27:eb:bf:9d:51","0.0050161633","76.0","0.0077179571","0.0206026497","22.2",0
"2020-07-12 00:53:00","00:0f:00:70:91:0a","0.0026030833","74.5","0.0048019291","0.0124103840","19.6",0
"2020-07-12 00:53:00","1c:bf:ce:15:ec:4d","0.0042320256","77.5","0.0068249185","0.0180666273","26.9",1
"2020-07-12 00:53:00","b8:27:eb:bf:9d:51","0.0050096458","76.1","0.0077106977","0.0205819525","22.1",0
"2020-07-12 00:54:00","00:0f:00:70:91:0a","0.0025999543","74.9","0.0047977387","0.0123988229","19.5",0
"2020-07-12 00:54:00","1c:bf:ce:15:ec:4d","0.0042304409","64.3","0.0068230487","0.0180613509","26.9",1
"2020-07-12 00:54:00","b8:27:eb:bf:9d:51","0.0050105224","59.7","0.0077116826","0.0205847563","22.0",0
"2020-07-12 00:55:00","00:0f:00:70:91:0a","0.0025999543","75.1","0.0047977387","0.0123988229","19.5",0
"2020-07-12 00:55:00","1c:bf:ce:15:ec:4d","0.0042021091","55.9","0.0067899949","0.0179678871","26.8",1
"2020-07-12 00:55:00","b8:27:eb:bf:9d:51","0.0050069137","50.2","0.0077076611","0.0205732917","22.0",0
"2020-07-12 00:56:00","00:0f:00:70:91:0a","0.0026097375","75.3","0.0048108135","0.0124349086","19.5",0
"2020-07-12 00:56:00","1c:bf:ce:15:ec:4d","0.0042450122","77.8","0.0068398702","0.0181090054","26.8",1
"2020-07-12 00:56:00","b8:27:eb:bf:9d:51","0.0050006853","51.1","0.0077007210","0.0205535062","22.1",0
"2020-07-12 00:57:00","00:0f:00:70:91:0a","0.0025714639","75.4","0.0047595989","0.0122935910","19.5",0
"2020-07-12 00:57:00","1c:bf:ce:15:ec:4d","0.0042611256","77.8","0.0068587289","0.0181623009","26.8",1
"2020-07-12 00:57:00","b8:27:eb:bf:9d:51","0.0050014728","50.7","0.0077016025","0.0205560172","22.2",0
"2020-07-12 00:58:00","00:0f:00:70:91:0a","0.0025983749","75.4","0.0047956284","0.0123929984","19.5",0
"2020-07-12 00:58:00","1c:bf:ce:15:ec:4d","0.0041929783","74.1","0.0067792474","0.0179375453","26.8",1
"2020-07-12 00:58:00","b8:27:eb:bf:9d:51","0.0050038761","51.4","0.0077042809","0.0205636529","22.3",0
"2020-07-12 00:59:00","00:0f:00:70:91:0a","0.0025816405","75.6","0.0047732480","0.0123312375","19.6",0
"2020-07-12 00:59:00","1c:bf:ce:15:ec:4d","0.0042294347","72.7","0.0068218444","0.0180579609","26.8",1
"2020-07-12 00:59:00","b8:27:eb:bf:9d:51","0.0050047712","51.3","0.0077052689","0.0205664743","22.3",0
"2020-07-12 01:00:00","00:0f:00:70:91:0a","0.0025617533","75.6","0.0047465890","0.0122577001","19.6",0
"2020-07-12 01:00:00","1c:bf:ce:15:ec:4d","0.0041727018","77.5","0.0067554917","0.0178704235","26.8",1
"2020-07-12 01:00:00","b8:27:eb:bf:9d:51","0.0048961985","51.2","0.0075762165","0.0202028532","22.4",0
"2020-07-12 01:01:00","00:0f:00:70:91:0a","0.0025432153","75.6","0.0047216153","0.0121888723","19.6",0
"2020-07-12 01:01:00","1c:bf:ce:15:ec:4d","0.0041951108","77.6","0.0067817490","0.0179446120","26.8",1
"2020-07-12 01:01:00","b8:27:eb:bf:9d:51","0.0049973569","51.2","0.0076970132","0.0205429351","22.4",0
"2020-07-12 01:02:00","00:0f:00:70:91:0a","0.0025311245","75.6","0.0047054594","0.0121442814","19.6",0
"2020-07-12 01:02:00","1c:bf:ce:15:ec:4d","0.0043306031","77.6","0.0069389210","0.0183894875","26.8",1
"2020-07-12 01:02:00","b8:27:eb:bf:9d:51","0.0049988516","51.2","0.0076986839","0.0205476956","22.4",0
"2020-07-12 01:03:00","00:0f:00:70:91:0a","0.0025408867","75.8","0.0047185131","0.0121803055","19.6",0
"2020-07-12 01:03:00","1c:bf:ce:15:ec:4d","0.0042409872","77.7","0.0068352893","0.0180959947","26.8",1
"2020-07-12 01:03:00","b8:27:eb:bf:9d:51","0.0049944288","51.3","0.0076937550","0.0205336442","22.5",0
"2020-07-12 01:04:00","00:0f:00:70:91:0a","0.0025393649","75.8","0.0047165611","0.0121748777","19.7",0
"2020-07-12 01:04:00","1c:bf:ce:15:ec:4d","0.0042338205","77.7","0.0068269314","0.0180723601","26.8",1
"2020-07-12 01:04:00","b8:27:eb:bf:9d:51","0.0049827522","51.3","0.0076807357","0.0204965318","22.5",0
"2020-07-12 01:05:00","00:0f:00:70:91:0a","0.0025118643","75.9","0.0046795215","0.0120727920","19.7",0
"2020-07-12 01:05:00","1c:bf:ce:15:ec:4d","0.0042154857","77.7","0.0068056156","0.0180120493","26.8",1
"2020-07-12 01:05:00","b8:27:eb:bf:9d:51","0.0049888386","51.3","0.0076875262","0.0205158864","22.5",0
"2020-07-12 01:06:00","00:0f:00:70:91:0a","0.0025377984","76.0","0.0047143637","0.0121688643","19.7",0
"2020-07-12 01:06:00","1c:bf:ce:15:ec:4d","0.0042106923","77.6","0.0068000104","0.0179962064","26.8",1
"2020-07-12 01:06:00","b8:27:eb:bf:9d:51","0.0049890467","51.3","0.0076877530","0.0205165355","22.5",0
"2020-07-12 01:07:00","00:0f:00:70:91:0a","0.0025170952","76.0","0.0046865817","0.0120922434","19.7",0
"2020-07-12 01:07:00","1c:bf:ce:15:ec:4d","0.0042574389","77.7","0.0068544137","0.0181501061","26.8",1
"2020-07-12 01:07:00","b8:27:eb:bf:9d:51","0.0049919275","51.3","0.0076909630","0.0205256869","22.5",0
"2020-07-12 01:08:00","00:0f:00:70:91:0a","0.0025014006","76.2","0.0046654430","0.0120339828","19.7",0
"2020-07-12 01:08:00","1c:bf:ce:15:ec:4d","0.0042411382","77.7","0.0068355078","0.0180965912","26.8",1
"2020-07-12 01:08:00","b8:27:eb:bf:9d:51","0.0049815851","51.3","0.0076794361","0.0204928264","22.6",0
"2020-07-12 01:09:00","00:0f:00:70:91:0a","0.0024883407","76.3","0.0046478457","0.0119854860","19.7",0
"2020-07-12 01:09:00","1c:bf:ce:15:ec:4d","0.0042378851","76.4","0.0068317471","0.0180859400","26.8",1
"2020-07-12 01:09:00","b8:27:eb:bf:9d:51","0.0049749402","51.3","0.0076720218","0.0204716941","22.6",0
"2020-07-12 01:10:00","00:0f:00:70:91:0a","0.0025070089","76.1","0.0046729709","0.0120547430","19.7",0
"2020-07-12 01:10:00","1c:bf:ce:15:ec:4d","0.0042522444","75.5","0.0068483752","0.0181330205","26.8",1
