"timestamp","device_id","max_co","min_co","max_humidity","min_humidity","max_lpg","min_lpg","max_smoke","min_smoke","max_temperature","min_temperature"
"2020-07-12 10:00:00","00:0f:00:70:91:0a","0.0046458072","0.0029862106","76.0","73.6","0.0072887239","0.0053033932","0.0193876640","0.0137995390","19.7","19.4"
"2020-07-12 10:00:00","1c:bf:ce:15:ec:4d","0.0040213419","0.0038641776","74.6","72.7","0.0065772905","0.0063904373","0.0173673552","0.0168407808","24.3","23.8"
"2020-07-12 10:00:00","b8:27:eb:bf:9d:51","0.0048902171","0.0048446328","52.6","49.9","0.0075772849","0.0075261251","0.0202017789","0.0200561148","21.5","21.1"
"2020-07-12 11:00:00","00:0f:00:70:91:0a","0.0036510056","0.0029847756","75.8","73.5","0.0061025186","0.0053015512","0.0160469128","0.0137944185","19.9","19.4"
"2020-07-12 11:00:00","1c:bf:ce:15:ec:4d","0.0040501274","0.0038710151","74.3","71.6","0.0066114189","0.0063986101","0.0174635808","0.0168637907","24.4","23.8"
"2020-07-12 11:00:00","b8:27:eb:bf:9d:51","0.0049181723","0.0048075505","53.7","50.1","0.0076085976","0.0074844066","0.0202909648","0.0199373835","21.5","21.1"
"2020-07-12 12:00:00","00:0f:00:70:91:0a","0.0030842608","0.0030013852","75.8","73.4","0.0054287739","0.0053228836","0.0141483168","0.0138537138","19.7","19.2"
"2020-07-12 12:00:00","1c:bf:ce:15:ec:4d","0.0040598850","0.0038838463","73.3","71.4","0.0066227235","0.0064139289","0.0174955863","0.0169069289","24.8","24.4"
"2020-07-12 12:00:00","b8:27:eb:bf:9d:51","0.0049069338","0.0047838990","53.6","50.7","0.0075960130","0.0074577508","0.0202551190","0.0198615448","21.7","21.1"
"2020-07-12 13:00:00","00:0f:00:70:91:0a","0.0032063342","0.0029999621","75.0","71.9","0.0055686010","0.0053210565","0.0145450650","0.0138486348","19.7","19.3"
"2020-07-12 13:00:00","1c:bf:ce:15:ec:4d","0.0040993016","0.0038931766","72.9","68.3","0.0066693164","0.0064250918","0.0176270261","0.0169383520","25.3","24.8"
"2020-07-12 13:00:00","b8:27:eb:bf:9d:51","0.0048651315","0.0048027902","55.3","50.9","0.0075491179","0.0074790373","0.0201215874","0.0199221093","21.9","21.2"
"2020-07-12 14:00:00","00:0f:00:70:91:0a","0.0031241300","0.0030120773","74.6","72.1","0.0054794020","0.0053365995","0.0142893267","0.0138918463","19.5","19.1"
"2020-07-12 14:00:00","1c:bf:ce:15:ec:4d","0.0042597636","0.0039581694","70.1","68.6","0.0068572240","0.0065025094","0.0181580033","0.0171564499","25.8","25.0"
"2020-07-12 14:00:00","b8:27:eb:bf:9d:51","0.0049103991","0.0048182453","53.4","50.5","0.0075998873","0.0074964449","0.0202661577","0.0199716413","22.2","21.2"
"2020-07-12 15:00:00","00:0f:00:70:91:0a","0.0035378341","0.0031070270","75.0","73.3","0.0059952724","0.0054577048","0.0157307944","0.0142288848","19.6","19.1"
"2020-07-12 15:00:00","1c:bf:ce:15:ec:4d","0.0043350503","0.0040886168","69.4","63.1","0.0069446973","0.0066568388","0.0184055266","0.0175917499","26.4","25.6"
"2020-07-12 15:00:00","b8:27:eb:bf:9d:51","0.0049746921","0.0049065479","53.2","50.0","0.0076717463","0.0075955767","0.0204709083","0.0202538784","22.3","21.4"
"2020-07-12 16:00:00","00:0f:00:70:91:0a","0.0041158437","0.0035221026","74.9","72.1","0.0066888367","0.0059759772","0.0176821101","0.0156767197","19.6","18.9"
"2020-07-12 16:00:00","1c:bf:ce:15:ec:4d","0.0041856791","0.0040462195","62.5","51.5","0.0067707844","0.0066068309","0.0179135883","0.0174506221","27.6","26.4"
