"timestamp","device_id","mean_co","median_co","variance_co","mean_humidity","median_humidity","variance_humidity","mean_lpg","median_lpg","variance_lpg","mean_smoke","median_smoke","variance_smoke","mean_temperature","median_temperature","variance_temperature","co_change_last_hour","humidity_change_last_hour","lpg_change_last_hour","smoke_change_last_hour","temperature_change_last_hour","co_to_humidity_ratio","smoke_to_temperature_ratio","lpg_to_co_ratio","variance_to_mean_co","variance_to_mean_humidity","variance_to_mean_lpg","variance_to_mean_smoke","variance_to_mean_temperature","high_low_percentage_co","high_low_percentage_humidity","high_low_percentage_lpg","high_low_percentage_smoke","high_low_percentage_temperature"
"2020-07-12 04:00:00","00:0f:00:70:91:0a","0.0026329386","0.0026230001","0.0000000011","75.7","75.8","0.33","0.0048415707","0.0048284515","0.0000000020","0.0125199192","0.0124836310","0.0000000152","19.6","19.5","0.01","0.0001628129","0.1","0.0002229595","0.0006127938","-0.1","0.0000347828","0.0006403505","1.8388468017","0.0000004295","0.0043615949","0.0000004101","0.0000012116","0.0005806721","31.67","63.33","31.67","31.67","48.33"
"2020-07-12 04:00:00","1c:bf:ce:15:ec:4d","0.0040789503","0.0040799363","0.0000000009","76.9","77.0","0.22","0.0066453080","0.0066465631","0.0000000012","0.0175592736","0.0175627692","0.0000000099","25.7","25.7","0.01","-0.0000234888","0.0","-0.0000276698","-0.0000781052","-0.3","0.0000530400","0.0006823552","1.6291711184","0.0000002200","0.0028517715","0.0000001874","0.0000005652","0.0002195486","50.00","68.33","50.00","50.00","40.00"
"2020-07-12 04:00:00","b8:27:eb:bf:9d:51","0.0048157746","0.0048414027","0.0000000023","51.5","51.9","0.80","0.0074935938","0.0075224952","0.0000000029","0.0199635635","0.0200457820","0.0000000234","22.1","22.2","0.03","-0.0000471348","0.2","-0.0000530454","-0.0001509589","-0.1","0.0000934255","0.0009035331","1.5560516187","0.0000004717","0.0154572238","0.0000003850","0.0000011698","0.0013259385","68.33","73.33","68.33","68.33","68.33"
"2020-07-12 05:00:00","00:0f:00:70:91:0a","0.0026648537","0.0026620466","0.0000000016","75.6","75.7","0.17","0.0048838355","0.0048802351","0.0000000027","0.0126367577","0.0126267467","0.0000000207","19.6","19.6","0.01","0.0000319152","-0.1","0.0000422649","0.0001168385","0.1","0.0000352595","0.0006444038","1.8326842769","0.0000005819","0.0022116089","0.0000005555","0.0000016413","0.0005825461","46.67","70.00","46.67","46.67","36.67"
"2020-07-12 05:00:00","1c:bf:ce:15:ec:4d","0.0040290422","0.0040362230","0.0000000028","76.4","76.4","0.17","0.0065863512","0.0065949740","0.0000000039","0.0173929363","0.0174171937","0.0000000308","25.5","25.5","0.01","-0.0000499081","-0.5","-0.0000589568","-0.0001663373","-0.2","0.0000527350","0.0006814524","1.6347188368","0.0000006862","0.0022294822","0.0000005869","0.0000017685","0.0003501836","53.33","48.33","53.33","53.33","40.00"
"2020-07-12 05:00:00","b8:27:eb:bf:9d:51","0.0047696724","0.0047683617","0.0000000002","51.1","51.5","0.61","0.0074416915","0.0074402204","0.0000000003","0.0198158672","0.0198116787","0.0000000025","22.0","22.0","0.03","-0.0000461022","-0.4","-0.0000519024","-0.0001476963","-0.1","0.0000932791","0.0009008577","1.5602102003","0.0000000500","0.0119505889","0.0000000408","0.0000001239","0.0015559625","46.67","73.33","46.67","46.67","63.33"
"2020-07-12 06:00:00","00:0f:00:70:91:0a","0.0026323607","0.0026199184","0.0000000011","75.4","75.5","0.33","0.0048408055","0.0048243619","0.0000000019","0.0125178038","0.0124723299","0.0000000143","19.5","19.5","0.02","-0.0000324931","-0.1","-0.0000430300","-0.0001189539","-0.1","0.0000348927","0.0006413905","1.8389598229","0.0000004039","0.0043193847","0.0000003853","0.0000011387","0.0012013490","30.00","50.00","30.00","30.00","43.33"
"2020-07-12 06:00:00","1c:bf:ce:15:ec:4d","0.0040593290","0.0040582861","0.0000000007","75.6","75.7","0.21","0.0066222177","0.0066210138","0.0000000010","0.0174940835","0.0174906726","0.0000000080","25.2","25.3","0.04","0.0000302868","-0.8","0.0000358665","0.0001011472","-0.3","0.0000536688","0.0006932468","1.6313577059","0.0000001772","0.0027516323","0.0000001508","0.0000004548","0.0016767806","48.33","65.00","48.33","48.33","61.67"
"2020-07-12 06:00:00","b8:27:eb:bf:9d:51","0.0048091693","0.0048124400","0.0000000003","51.8","51.6","8.74","0.0074862177","0.0074899093","0.0000000004","0.0199425430","0.0199530432","0.0000000034","21.8","21.9","0.06","0.0000394970","0.6","0.0000445262","0.0001266758","-0.2","0.0000929158","0.0009137477","1.5566550454","0.0000000686","0.1689552980","0.0000000559","0.0000001698","0.0027899121","53.33","16.67","53.33","53.33","50.00"
"2020-07-12 07:00:00","00:0f:00:70:91:0a","0.0027358333","0.0027485585","0.0000000044","75.2","75.4","0.28","0.0049774271","0.0049942231","0.0000000076","0.0128956854","0.0129421442","0.0000000582","19.5","19.5","0.01","0.0001034726","-0.2","0.0001366216","0.0003778816","-0.1","0.0000363824","0.0006628468","1.8193459418","0.0000016011","0.0037775145","0.0000015283","0.0000045159","0.0004952759","58.33","66.67","58.33","58.33","56.67"
"2020-07-12 07:00:00","1c:bf:ce:15:ec:4d","0.0040249708","0.0040239843","0.0000000020","75.4","75.4","0.09","0.0065815663","0.0065805350","0.0000000027","0.0173794242","0.0173764470","0.0000000218","25.0","25.0","0.01","-0.0000343582","-0.2","-0.0000406514","-0.0001146593","-0.3","0.0000533828","0.0006962910","1.6351836021","0.0000004877","0.0011486639","0.0000004172","0.0000012572","0.0004508909","50.00","71.67","50.00","50.00","56.67"
"2020-07-12 07:00:00","b8:27:eb:bf:9d:51","0.0048438951","0.0048437378","0.0000000001","51.3","51.7","0.70","0.0075252907","0.0075251183","0.0000000002","0.0200537424","0.0200532493","0.0000000014","21.7","21.8","0.05","0.0000347257","-0.5","0.0000390730","0.0001111994","-0.1","0.0000944659","0.0009240646","1.5535618820","0.0000000287","0.0136274139","0.0000000233","0.0000000709","0.0021007785","48.33","71.67","48.33","48.33","56.67"
"2020-07-12 08:00:00","00:0f:00:70:91:0a","0.0028324682","0.0028352657","0.0000000004","75.2","75.4","0.24","0.0051043816","0.0051080759","0.0000000006","0.0132471431","0.0132573610","0.0000000048","19.5","19.5","0.01","0.0000966350","0.0","0.0001269545","0.0003514577","0.0","0.0000376424","0.0006805039","1.8020966812","0.0000001292","0.0031330479","0.0000001225","0.0000003623","0.0006733225","56.67","66.67","56.67","56.67","55.00"
